CID,CRPName,Party
N00045671,"Cutcher, William",R
N00045672,"Iacino, James",D
N00045673,"Deegan, Donna",D
N00045674,"Goble, Richard",R
N00045675,"Valentin, Leo",R
N00045676,"Zhao, Yukong",R
N00045677,"Thompson, Steven",R
N00045678,"Newby, Sharon",R
N00045679,"Milligan, Jerry III",R
N00045680,"Murray, Theodore",I
N00045681,"Figlesthaler, William",R
N00045682,"Eagle, Dane",R
N00045684,"Dumornay, Antonio",I
N00045686,"Mody, Roshan",D
N00045687,"Miller, Ervan",D
N00045687,"Miller, Ervan",R
N00045688,"Felton, Elizabeth",R
N00045689,"Scott, Christine",R
N00045689,"Scott, Christine",I
N00045690,"Boyle, Kevin",R
N00045691,"Escobar, Yadira",D
N00045692,"Tarrio, Enrique",R
N00045693,"Wilson, Dan",D
N00045694,"Nuckolls, Asher",D
N00045695,"Johnson, Liz",D
N00045696,"Steiner, Dan",D
N00045697,"Phillips, Ricky",R
N00045698,"Evans, Joseph",I
N00045699,"Hussain, Inam",D
N00045700,"Lenzi, Ray",D
N00045701,"Smith, Stefanie",D
N00045702,"Evans, Jerry",R
N00045703,"Miller, Mary",R
N00045704,"Bambenek, John Christian",R
N00045705,"Wolff, Kerry Allen",R
N00045706,"Lane, Jacob P",R
N00045707,"Gray, Kent",R
N00045708,"McCuan, Ron",R
N00045709,"Edwards, Spanky",D
N00045710,"Haasis, Mark",D
N00045711,"McDermott, Tom",D
N00045712,"Harper, James",D
N00045713,"Coldiron, Chip",D
N00045714,"Bales, Andrew",R
N00045715,"Marsili, Thomasina",D
N00045716,"Robinson, Scotty",R
N00045718,"Cavell, Dave",D
N00045719,"McQuilken, Angus",D
N00045720,"Rabb, Saafir",D
N00045722,"Cummings, Maya Rockeymoore",D
N00045723,"Branch, Talmadge",D
N00045724,"Carter, Jill",D
N00045726,"Willis, Andrew Jackson",R
N00045727,"Junge, Paul",R
N00045728,"Lyke, Kristina",R
N00045729,"Slocum, Doug",R
N00045730,"McClain, Lisa",R
N00045731,"Esshaki, Eric",R
N00045732,"Lemmo, Al",R
N00045733,"Grossbard, Gavriel",R
N00045734,"Houston, Daryle",R
N00045735,"Vogel, Lucia",R
N00045736,"Oglesby, Dennis",D
N00045737,"Boyanton, Carl",R
N00045738,"Baca, Ethan",R
N00045739,"Benton, Steven Douglas",R
N00045740,"O'Shea, Michael",D
N00045741,"Trowbridge, Jamie",D
N00045742,"Freeman, Kevin",D
N00045743,"Novak, John J",R
N00045745,"Garcia Holmes, Michelle",R
N00045746,"Morpor, Anise Golden",R
N00045747,"Thomas, Anthony Jr",D
N00045748,"Larios-Elias, Citlaly",R
N00045749,"Ackerman, Patricia",D
N00045750,"Newberry, Corwin",R
N00045751,"Garcia, Abe Jamie",D
N00045752,"Caldarera, Joe",R
N00045753,"Fink, Chris",D
N00045754,"Eisen, Josh",R
N00045755,"Rodriguez-Wheeler, Jo-Anna",D
N00045756,"Carlucci, David",D
N00045757,"Katz, David M",D
N00045758,"Fine, Allison",D
N00045759,"Hernandez, Asha Castleberry",D
N00045760,"Seney, Michael",R
N00045762,"Larsen, Mike",D
N00045763,"Carrigan, Michael Xavier",D
N00045764,"Gore, Laverne",R
N00045765,"Schulz, Jonah",R
N00045766,"Shearer, Alaina",D
N00045767,"Weislogel, Benjamin",D
N00045768,"Santos, Robert",R
N00045769,"Newby, Joel",D
N00045770,"Asamoa-Caesar, Kojo",D
N00045771,"Forbes, Wesley",D
N00045772,"Tatum, Bryan",R
N00045773,"Bentz, Cliff",R
N00045774,"Atkinson, Jason",R
N00045775,"Hurwitz, Skylar",D
N00045776,"Mantilla, Joanne",D
N00045777,"DeSantis, Edward",D
N00045778,"Parnell, Sean",R
N00045779,"Mole, Brad",R
N00045780,"Sinha, Viresh",D
N00045781,"Decal, Dustin",R
N00045782,"Mattlin, Meredith",D
N00045783,"Jones, Justin",D
N00045784,"Olsen, Travis",D
N00045785,"Lim, Kenny",R
N00045786,"Breyman, Cynthia",R
N00045787,"Winegarner, Josh",R
N00045788,"Ekstrom, Chris",R
N00045790,"Trujillo, Gus",D
N00045791,"Culley, Jamie",R
N00045792,"Williams, Mikal",D
N00045793,"De La Cruz Hernandez, Monica",R
N00045794,"Jaramillo, David",D
N00045795,"Adnan, Ahmad",R
N00045797,"Bland, Scott",R
N00045798,"Milliron, Nathan",R
N00045799,"Aaloori, Bangar Reddy",R
N00045800,"Hammel, Schell",R
N00045801,"Mathews, Daniel",R
N00045802,"Morgan, Clint",R
N00045803,"Valdez, Efrain",D
N00045804,"Thomas, Sharon Breckenridge",R
N00045805,"McFarlin, Jeff",R
N00045806,"Vega, Sam",D
N00045807,"Burton, Hasani",D
N00045808,"Young, Tammy",D
N00045809,"Hollis, Jonathon",R
N00045810,"Lewis, Brandon Rashad",D
N00045811,"Stevenson, Bob",R
N00045812,"Owens, Burgess",R
N00045813,"Cox, Thomas Phillip",D
N00045814,"Bell, Jarome",R
N00045815,"Russo, Claire",D
N00045816,"Mohsini, Zainab",D
N00045817,"Gordon, Dan",R
N00045818,"Heller, Jeffery",R
N00045819,"Cook, Brandon",R
N00045864,"Patrick, Deval",D
N00045869,"Nelson, Ruth Page",R
N00045870,"Whitfield, Daniel",I
N00045870,"Whitfield, Daniel",D
N00045872,"Turley, Mark",3
N00045874,"Johnson-Shealey, Tamara",D
N00045875,"Johnson, Wayne",R
N00045878,"Bollier, Barbara",D
N00045880,"Savage, Lisa",3
N00045881,"Lajeunesse, Ross",D
N00045882,"Willis, Valerie",R
N00045883,"Broyles, Abby",D
N00045885,"Buckner, Dwayne Duke",R
N00045886,"Onyejiaka, Diana",D
N00045888,"Cooper, Michael",D
N00045889,"McKennon, Kerry",L
N00045890,"Easley, John Jr",R
N00045891,"Faulkner, Omari",R
N00045892,"Whitt, Allen",R
N00045893,"Barberena, Carlos",I
N00045894,"Smith, Michelle",D
N00045897,"Ireland, Jonathan",D
N00045898,"Goodrow, Cristos Jon",D
N00045900,"Scott, Keanakay",D
N00045902,"Kutner, Eric",D
N00045903,"Aarons, Adam",D
N00045905,"Mrvan, Frank J",D
N00045906,"Reardon, Mara",D
N00045907,"Farrar, Ryan",D
N00045908,"Goldstein, Robbie",D
N00045910,"Higginbotham, F Michael",D
N00045911,"Hill, Terri",D
N00045912,"Richardson, Jennifer",D
N00045913,"Hall, Ryan William",D
N00045914,"Hall, Sharon",D
N00045915,"Davis, Moe",D
N00045916,"Oviatt, Nick",R
N00045917,"Gibbs, Kate",R
N00045918,"DiRisio, Dana",R
N00045919,"Winkler, David",R
N00045920,"Vanderdussen, Jared",R
N00045921,"LaLota, Nick",R
N00045922,"Ellerup, Johanna",D
N00045923,"Prince, Paperboy",D
N00045924,"Farkas, Evelyn",D
N00045925,"Tims, Desiree",D
N00045926,"Hood, Michael",D
N00045927,"Karpus, Ron",D
N00045928,"Daniels, Teddy",R
N00045929,"Allen, Michael",D
N00045930,"McGuire, John",R
N00045931,"Kreiselmaier, Elizabeth",R
N00045937,"Dang, Betty",R
N00045941,"Newman, Adam",R
N00045942,"Scarane, Jessica",D
N00045943,"Martinez, Elisa",R
N00045944,"Harvey-Hall, Phyllis",D
N00045945,"LeTourneau, Joseph",I
N00045946,"Saulsbury, Paul",R
N00045947,"Thomas, Jacob",R
N00045948,"Ivy, Jon",R
N00045949,"Ellars, James Robert",D
N00045950,"Esmus, Jeff",I
N00045951,"Amador, Tony",R
N00045952,"Doyle, Matthew",D
N00045953,"Vital, Jacob",I
N00045954,"Issaq, Abdullah",D
N00045956,"Hill, Heman L",I
N00045957,"Uygur, Cenk",D
N00045958,"Jenks, Kenneth Mr.",R
N00045959,"Elize, Getro",D
N00045960,"Lackey, Courtney",R
N00045961,"Valdez-Ortega, Anibal Mr.",D
N00045962,"Lozano, David",R
N00045963,"Cooper, Robert",D
N00045964,"Guzik, Michael",D
N00045965,"Ben-Dov, Naora",R
N00045966,"Gibboney, Agnes",R
N00045967,"Cargile, Mike",R
N00045968,"Stevanovich, Milo",R
N00045970,"Duncan, Hunter Spears",R
N00045972,"Sharma, Peter",D
N00045973,"Oristian, Michael Patrick",R
N00045974,"Boebert, Lauren",R
N00045975,"Bocchino, Brandon Reid",D
N00045976,"Elgin, TJ",R
N00045977,"Rowe, Richard Allen",D
N00045978,"Cammack, Kat",R
N00045979,"Frontela, Carlos",D
N00045980,"Aquino, Darren Dione Mr.",R
N00045981,"O'Connell, Ford",R
N00045982,"Henderson, Randy",R
N00045983,"Sherrill, Reba",R
N00045984,"Olson, Jeffrey E",I
N00045984,"Olson, Jeffrey E",R
N00045985,"Kroske, Michael T",R
N00045986,"Montiel, Christian Andres Mr",R
N00045987,"Dean, Robert Vance",R
N00045988,"Pandy, Devin",D
N00045989,"Sellers, Roderick",D
N00045990,"Everly, Steven",R
N00045991,"Heinz, Bradley",I
N00045992,"Duncan, Darren",R
N00045993,"Weaver, Erika",D
N00045994,"Baer, Ben",D
N00045995,"Haake, Sabrina",D
N00045996,"Small, Mark",R
N00045997,"Moore, Vernon",I
N00045998,"Millis, Tonya",L
N00045999,"Dorris, Dale",D
N00046000,"Perry, Robert Lee",L
N00046001,"Palombi, Chris",R
N00046002,"Lee, Kenneth Baxter",R
N00046003,"Mohammed, Mekkah X",R
N00046004,"Klacik, Kimberly",R
N00046005,"Jalisi, Jay",D
N00046006,"Gladden, Nicholas",R
N00046007,"Hiatt, John",R
N00046008,"Fitchett-Hickson, Christina",R
N00046010,"Hernandez, Shane",R
N00046011,"Dudenhoefer, David",R
N00046012,"Lo, Sia",R
N00046013,"Melton-Meaux, Antone",D
N00046014,"Mason, John",D
N00046015,"Schupp, Jill",D
N00046016,"Eliason, Antonia",D
N00046018,"Terrell, Andy",D
N00046019,"Williams, Michael Tyrone",R
N00046020,"Klund, Vicky",R
N00046021,"Foxx, Rhonda",D
N00046022,"Clemmer, Eli",R
N00046023,"Castillo, Hector",R
N00046024,"Crook, Robert",R
N00046025,"Cohen, Ed",D
N00046027,"Fleming, Bridget",D
N00046028,"Fischer, Greg",D
N00046029,"Bergin, Trish",R
N00046030,"Garbarino, Andrew",R
N00046032,"Pabon, Julio",D
N00046033,"Schleifer, Adam",D
N00046034,"Castle, Jaime",D
N00046035,"Moss, Nicholas",I
N00046036,"Mierzejewski, Samuel Warren",R
N00046037,"Tibbetts, Isabella",D
N00046038,"Buehler, Knute",R
N00046039,"Snow, Salem",D
N00046040,"Granville, Earl",R
N00046041,"Vayda, Daniel",I
N00046042,"Mammadov, Ramin",D
N00046043,"Shuler, Harrison",I
N00046044,"Wildenradt, Craig",I
N00046045,"Ladjevardian, Sima",D
N00046046,"Salter, Carolyn",D
N00046047,"Martinez, Julian",R
N00046048,"Cady, Jeffery",I
N00046049,"Anderson, Danny Eugene",D
N00046050,"Herman, Richard",R
N00046051,"Resendiz, Asusena",R
N00046052,"Knowlton, Diane",R
N00046053,"Carr, Catherine",R
N00046054,"Neese, Mark",R
N00046055,"Jackson, Ronny",R
N00046056,"Gassaway, Timothy",D
N00046057,"Harvey, Erwin Lee",R
N00046058,"Fisher, Eddie",D
N00046059,"Trout, Blanca Ortiz",R
N00046060,"Vessali, Elianor",R
N00046061,"Kent, Todd",R
N00046062,"Swann, Renee",R
N00046063,"Saucedo, David",R
N00046064,"Oppenheim, Jeff",R
N00046065,"Cadena, Robert",R
N00046066,"Manning, Thomas Clayton",R
N00046067,"Nehls, Troy",R
N00046068,"Bush, Pierce",R
N00046069,"Hermes, Aaron",R
N00046070,"Madrid, Rick",D
N00046071,"Jefferson, Dakinya",L
N00046072,"Grimes, Michael",D
N00046073,"Bravo, Jeremy",I
N00046074,"Hayward, William",R
N00046075,"Jolin, Ashley",D
N00046076,"Jorgensen, Carson",R
N00046077,"Weston, John Kael",D
N00046078,"Beckstrand, Daniel",D
N00046079,"Downs, Madison",R
N00046080,"Williams, Bridgette",R
N00046082,"Kim, Heerak Christian",I
N00046083,"Dickerson, Cameron",D
N00046084,"Truong, Matt",R
N00046085,"Tate, Ryan",R
N00046086,"Cunningham, Angela",D
N00046087,"Peters, Tim",R
N00046088,"Washburn, Amy",D
N00046122,"Goldfischer, David",D
N00046123,"Dillard Smith, Maya",D
N00046124,"McGuire, Darrell",I
N00046125,"Loeffler, Kelly",R
N00046126,"Feges, Patrick Mr.",I
N00046127,"Edwards, Joshua",D
N00046128,"Petteys, Derek",3
N00046129,"Myers-Montgomery, Jamar ""Doc""",I
N00046131,"Bell-Moore, Katherine",D
N00046133,"Dilliard, Eric",L
N00046134,"Perkins, Andrew",D
N00046135,"Tay, Paul",D
N00046136,"Hart, Clara",D
N00046137,"Presley, Johnny",R
N00046138,"Castro, John Anthony",R
N00046139,"Bierschwale, Virgil",R
N00046140,"Srinivasan, Arjun",I
N00046141,"Garcia, Anne",D
N00046142,"Jefferson, Cedric D",3
N00046143,"D?Amico, Samuel",I
N00046144,"Ruden, Noran Eric",R
N00046145,"Bacon, Jason",R
N00046146,"Lewellen, Tom",I
N00046147,"Rodriguez, Jimmy",R
N00046148,"Huang, Sam",R
N00046149,"Walker, Jason S",R
N00046151,"Moniz, Rachel",D
N00046153,"Green, Jacquetta",I
N00046154,"Castillo, Saul Jr",D
N00046155,"Young, Kenneth",I
N00046156,"Tolar, Michael",D
N00046157,"Schuesler, John Thomas",R
N00046158,"Fountain, Joseph",D
N00046159,"Wong, Tom",D
N00046160,"Santori, Suzette",D
N00046161,"Stoddard, Christopher",R
N00046162,"Camp, Joey",I
N00046163,"Tomitsch, Melanie",D
N00046164,"Lucas, Ryan",D
N00046165,"Gonzalez, Ryan Alexander",R
N00046167,"Streicker, Margaret",R
N00046168,"Merlen, Brian",D
N00046169,"Meehan, Ryan",R
N00046170,"Christensen, Adam",D
N00046171,"Rollins, Gavin",R
N00046172,"St. George, James",R
N00046173,"Gleichauf, Robbi",R
N00046174,"Abenchuchan, Isaiah",D
N00046175,"Thripp, Richard",D
N00046176,"Ammi, Hichamd",D
N00046177,"Reyes, Edgar",I
N00046178,"Sacramento, Nicolas",R
N00046179,"Fitzenhagen, Heather",R
N00046181,"Persky, Stewart",R
N00046182,"Jefferson, Demondria",L
N00046183,"Harbin, Blake",R
N00046184,"Barthelemy, Mykel",R
N00046185,"Wysinger, Robert",3
N00046186,"Boggus, Michael",R
N00046188,"Spitzner, Alvin",D
N00046189,"Jefferson, Arkeiska",L
N00046191,"Fuller, Clayton",R
N00046192,"Cowan, John",R
N00046196,"Famera, Noelle",D
N00046197,"Ellington, Chuck",R
N00046198,"Morton, Craig",D
N00046199,"Mosby, Wendell",D
N00046200,"Borom, Melissa",D
N00046201,"Scaife, Delano",R
N00046202,"Marcano, Carlos",D
N00046203,"Hook, Matt",R
N00046204,"Walters, Gerald",R
N00046205,"Ruff, Andy",D
N00046206,"De La Isla, Michelle",D
N00046207,"McMurtry, Todd",R
N00046208,"Best, Matthew",D
N00046209,"Sigel, Ben",D
N00046210,"Hoffman, Vanessa",D
N00046211,"Sayers, Doug",R
N00046212,"Grant, Leslie",D
N00046213,"Woodard, Jeffrey",D
N00046214,"Coll, Gregory",R
N00046216,"Jefferson, Netita V",3
N00046219,"Kelly, Tim",R
N00046220,"Hoover, Alan",R
N00046224,"Zeiler, Kerry",R
N00046225,"Kistner, Tyler",R
N00046227,"Adan, Leila Shukri",D
N00046228,"Al-Aqidi, Dalia",R
N00046232,"Montseny, Teresa",D
N00046233,"Flowers, Brian",R
N00046238,"Deming, Robert",R
N00046240,"Swain, Alan",R
N00046241,"Sarkar, Debesh",R
N00046242,"Montgomery, Derwin Lamar",D
N00046243,"Haywood, Lee",R
N00046244,"Timmons-Goodson, Patricia",D
N00046245,"Brooks, Clayton",D
N00046246,"Wallace, Cynthia",D
N00046247,"Davis, Jim",R
N00046248,"Bennett, Lynda",R
N00046250,"Burril, Matthew",R
N00046251,"King, Wayne",R
N00046252,"Cawthorn, Madison",R
N00046253,"Mowers, Matt",R
N00046254,"Bennett, Ashley",D
N00046255,"Kennedy, Amy",D
N00046256,"Goldberg, Jack",D
N00046257,"Benally, Dineh",D
N00046259,"Pereszlenyi, Alex",I
N00046260,"Dunson, Leo",R
N00046261,"Wood, Rebecca",R
N00046262,"Kudler, Robert",R
N00046263,"Lipetri, Mike",R
N00046264,"Omere, Iro",D
N00046265,"Felipe, Jerome Zabal",D
N00046266,"Parker, Catherine",D
N00046267,"Guin, Delter",D
N00046268,"Seaburg, Riley David",D
N00046269,"Lape, Brandon",L
N00046270,"Connors, Tim",R
N00046271,"Weber, Rob",R
N00046272,"Flanders, Kathi",R
N00046273,"Hunt, Shelby",R
N00046274,"Crumpacker, Jimmy",R
N00046275,"Heuertz, Nik",D
N00046276,"Cunningham-Bullock, Andre",D
N00046277,"Barnette, Kathy",R
N00046278,"Pruett, Dasha",R
N00046280,"Sonnek, Luisa",D
N00046281,"Cady, Matt",D
N00046282,"Vodvarka, Jesse",R
N00046283,"Johnson, Jamison",R
N00046284,"Watson, Melissa",D
N00046285,"Clark, John",R
N00046286,"Adcox, Anthony",R
N00046289,"Hill, Don",R
N00046291,"Rehman, Laique",R
N00046292,"Kelly, Shawn",L
N00046293,"Hernandez, Elizabeth",D
N00046294,"Osborn, Kirk",R
N00046295,"Jones, Laura",D
N00046296,"Gray, Casey",R
N00046297,"Foglesong, Jason",R
N00046299,"Hernandez-Cigarrusita, Patrick",R
N00046300,"Tunnell, Kezia Elizabeth",R
N00046301,"Watson, Tom",D
N00046303,"Camarillo, Jon",R
N00046304,"Bauer, Mark",I
N00046305,"Cunningham, William Robert",I
N00046306,"Armstrong, Michael",R
N00046308,"Sigmon, Jason",I
N00046309,"Segura, Sean Paul",D
N00046310,"Mata, Jason",I
N00046311,"Gibson, Kerry",R
N00046312,"Jarvis, Joe",3
N00046313,"Washington, Kevin",D
N00046314,"Easley, John Jr",D
N00046315,"Rashid, Qasim",D
N00046316,"Burke, Geoffrey",R
N00046317,"Benjamin, Leon",R
N00046318,"Spivey, James",R
N00046319,"Parson, Rebecca",D
N00046320,"Strickland, Marilyn",D
N00046321,"Reeves, Kristine",D
N00046322,"Polack, Roger",D
N00046323,"Garske, John",R
N00046363,"Witzke, Lauren",R
N00046364,"Miller, Ervan",R
N00046365,"Winfield, Richard Dien",D
N00046366,"Booker, Charles",D
N00046367,"Rich, Gary",R
N00046368,"Hamm, Lawrence",D
N00046369,"Garepalli, Navodaya",R
N00046370,"Sanchez, Louie J",R
N00046371,"Ronchetti, Mark",R
N00046373,"Garcia, Johnny",R
N00046374,"Brumley, James",I
N00046376,"Ben David, Merav",D
N00046378,"Napolitano, Gennaro",3
N00046380,"Madrigal, Raul Ali",D
N00046381,"Delgado, Antonio",R
N00046382,"Keys, Reginald",I
N00046383,"Winn, Charles",R
N00046384,"Howard, Cheryl",D
N00046385,"Baker, Devin",D
N00046386,"Giunn, Kent",R
N00046387,"Braddy, Ed",R
N00046388,"DiAngelus, Chelle",R
N00046389,"Wright, Christopher",R
N00046390,"Licciardello, Aaron Joseph",R
N00046392,"Fugate, Demetrius",I
N00046393,"Spicer, Lavern",R
N00046394,"Gimenez, Carlos",R
N00046395,"Martin, Barrington II",D
N00046396,"Kennemore, Zachary",R
N00046397,"Hites, Becky",R
N00046398,"Ott, Sarah",D
N00046399,"Perkins, Kyle",R
N00046400,"Cooke, Kevin",R
N00046401,"Matthews, Ameena",D
N00046402,"O'Shea, Cathy",R
N00046403,"Lemmons, Spencer",R
N00046404,"Bergeron, Dion Michael Mr.",R
N00046405,"Smith, Susan Marie",R
N00046406,"Eddings, Waymen",R
N00046408,"Pingley, Jennifer",D
N00046409,"Simpson, Jim",R
N00046411,"Lloyd, Rashad",I
N00046412,"Schuman, Gary",D
N00046413,"Spikes, Harry",D
N00046414,"Langworthy, Charles",R
N00046415,"Singh, Bisham",R
N00046416,"Barr, Regina",R
N00046417,"Hammond, BC",R
N00046418,"Rathburn, Sonia",D
N00046419,"Southerland, Harry",D
N00046420,"Parker, David",D
N00046421,"Osborne, Joey",R
N00046422,"Raknerud, Zach",D
N00046423,"Mayberry, Matt",R
N00046424,"Dumont, Zachary",L
N00046426,"Gindi, Sammy",R
N00046427,"Devolder-Santos, George",R
N00046428,"Raiser, Steve",R
N00046429,"Zmich, Thomas",R
N00046430,"Deutsch, Chaim",D
N00046431,"Rodriguez, Ramon",D
N00046432,"Newsome, Chivona Renee",D
N00046433,"Gottesfeld, Yehudis",R
N00046434,"Mychajliw, Stefan",R
N00046435,"Gibbs, Chris",I
N00046436,"Reynolds, Blair",D
N00046437,"Scheetz, Steve",L
N00046438,"Glatfelter, Katherine",D
N00046439,"Bognet, Jim",R
N00046440,"Cammisa, Mike",R
N00046441,"Marx, Bill",D
N00046442,"Negron, Luke",R
N00046443,"Albors, Juan Carlos",I
N00046444,"May, Liz Marty",R
N00046445,"Snider, Chad",I
N00046446,"Warren, Luke Jacob",D
N00046447,"Wall, Chris",R
N00046448,"Durbano, Douglas",R
N00046449,"Gardner, Phil",D
N00046450,"Hewett, Don",R
N00046451,"Doglio, Beth",D
N00046452,"Ebben, Jessi",R
N00046453,"Erickson, Fredrick",3
N00046454,"Hahn, Matt",R
N00046466,"Tobin, Mary Ann",D
N00046468,"Thomas, Jeremy",I
N00046469,"McLeod, Elizabeth",I
N00046470,"Collins, Wilmot",D
N00046471,"Quilter, Peter",D
N00046472,"Goldstein, Michael",R
N00046473,"Polo, Frank",I
N00046474,"Smith, Paulette",R
N00046475,"Barge, John",R
N00046476,"Hoomanawanui, Jonathan",3
N00046477,"Harrison, Brigid Callahan",D
N00046478,"Walsh, Timothy",R
N00046479,"Gomez, Kevin",D
N00046480,"Mitris, George",R
N00046481,"Smith, Jeff",R
N00046482,"Campbell, David",R
N00046483,"Brown, Moe",D
N00046484,"Roberts, Kyle",I
N00046485,"Lewis, Jeffrey",D
N00046488,"DeMartino, James",R
N00046489,"Warnock, Raphael",D
N00046491,"Scheller, Lisa",R
N00046492,"Dunn, Blaine",R
N00046493,"Patti, Tiffany Jean Ms.",D
N00046494,"Handley, Mont",R
N00046495,"Shelton, Kim",D
N00046496,"Lee, Katelyn",D
N00046497,"Moyer, Eric",D
N00046498,"Shabazz, Tariq",D
N00046499,"Rahimi, Miles V",R
N00046500,"Daigle, Paul",D
N00046501,"Mitchell, James",D
N00046504,"Dupre, Margot",R
N00046506,"Matlock, Brian",R
N00046507,"Boyd, Mike",R
N00046508,"Murray, Nick",D
N00046509,"Amling, Dane",D
N00046511,"Haisty, Sherwood Jr",R
N00046512,"Mercuri, Daniel",R
N00046513,"Weems, Eugene",I
N00046514,"Merk, Greg",R
N00046515,"Chamberlin, Ryan",R
N00046516,"Chase, Todd",R
N00046517,"Engelbrecht, Bill",R
N00046518,"White, John",R
N00046519,"Jungk, Ronald Alexander",R
N00046520,"Mejias, Eddie",R
N00046521,"Jackson, Sean",R
N00046522,"Lawson, Kristofer Steven",I
N00046523,"Hubbard, Dave",I
N00046524,"Britvec, Kel",I
N00046525,"Weiss, Guido",D
N00046526,"Canton, Steve",I
N00046527,"Requena, Oswaldo",R
N00046528,"Cole, Don",R
N00046529,"Tanner, Kevin",R
N00046530,"Wilkinson, John",R
N00046531,"Gurtler, Matt",R
N00046532,"Underwood, Ethan",R
N00046533,"Van Ausdal, Kevin",D
N00046534,"Hembree, Bill",R
N00046535,"Laughridge, Matthew",R
N00046536,"Gunther, Andy",R
N00046537,"Spartz, Victoria",R
N00046538,"Brizzi, Carl",R
N00046540,"Shack, Tom",D
N00046541,"Moran, John Paul",R
N00046542,"Meyyur, Chris",R
N00046543,"Baker, T Dan",D
N00046544,"Brown, Alicia D",D
N00046545,"Chullin, Matko Lee III",D
N00046546,"Cohen, Jay Fred",D
N00046547,"Costley, Nathaniel M Sr",D
N00046548,"Davidson, Jermyn",D
N00046549,"Gonzalez, Darryl",D
N00046550,"Gosnell, Mark",D
N00046551,"Konka, Paul",D
N00046552,"Anderson, Christopher",R
N00046553,"Arnold, James",R
N00046554,"Brown, Brian",R
N00046555,"Hawkins, Reba A",R
N00046556,"Patrick, Vance",R
N00046557,"Laugisch, Thaddeus",D
N00046558,"Spolarich, Gaylene",D
N00046559,"Derks, Ryan",R
N00046560,"Farris, Ramona",D
N00046561,"Evankovich, John",R
N00046562,"Driscoll, Dan",R
N00046563,"Else, David",D
N00046564,"Fowler, William",R
N00046565,"Francis, John",D
N00046566,"Barrett, James",R
N00046567,"Hemendinger, Nancy",R
N00046568,"Hussein, Azeem",D
N00046569,"Stevenson, Dylan",R
N00046570,"Wyman, Bob",D
N00046571,"Morris-Perry, Christopher",3
N00046572,"Caruso-Cabrera, Michelle",D
N00046573,"McArdle Schulman, Maureen",R
N00046574,"Van De Water, Kyle",R
N00046575,"Samsel, Jim",R
N00046577,"Truex, Donald",R
N00046579,"Midyett, Zoe",D
N00046580,"Briones, Heidi",D
N00046581,"Mayo, Justus",R
N00046582,"Tarshish, Joe",I
N00046583,"Cole, Kolbe",D
N00046584,"Rowley, Todd",D
N00046586,"Jordan, Zayira",I
N00046587,"Lancia, Bob",R
N00046588,"Crowe, Rusty",R
N00046589,"Baxley, Nancy",I
N00046590,"Adcox, Elijah",R
N00046591,"Moran, Joshua",D
N00046592,"Vieira, Scott Jr",I
N00046593,"Hale, Kevin",L
N00046594,"Barber, Gene Allen",R
N00046595,"Bamezquita, Alberto",I
N00046596,"Neuendorff, Keith",R
N00046597,"Liggera, David",D
N00046598,"Moore, Blake",R
N00046600,"Jordan, Jeff",R
N00046601,"Hazelo, Tim",R
N00046602,"Martin, Brian D",R
N00046603,"Ingrim, Rian",R
N00046604,"Sundblom, Jonathan",R
N00046605,"Beardsley, Michael",D
N00046607,"Patel, Eshan",I
N00046608,"Martinez, Angel David",D
N00046629,"Arif, Mohammad",D
N00046630,"Getchell, Floyd",R
N00046631,"Burton, PT",R
N00046632,"Boyington, Marcos",D
N00046633,"Tarver, Ed",D
N00046634,"Jackson, Deborah",D
N00046635,"Jordan, Paulette",D
N00046636,"Blask, Washington",D
N00046637,"O'Connor, Kevin",R
N00046640,"Larson, Daniel",R
N00046641,"Kulow, Matthew",R
N00046642,"Brooks, Natisha",R
N00046643,"Smith, Tim",I
N00046644,"Shamley, Doyel",R
N00046645,"Malgieri, Anthony",I
N00046646,"Adler, Gary",R
N00046647,"Wagoner, John Roger",R
N00046648,"Ekman, Kenneth Jr",D
N00046649,"Garlington, Bill",I
N00046650,"Johnson, Kim",R
N00046651,"Misigoy, Dennis",L
N00046652,"Almonord, Valbrun",D
N00046654,"Clyde, Andrew",R
N00046655,"Tolin, Tyler James",R
N00046656,"Strickland, Maria",R
N00046657,"Meza, Ryan",D
N00046658,"Law, Idaho L",L
N00046659,"Pellegrini, Ruth",I
N00046660,"Boeving, Brian",3
N00046662,"Matthew, Nick",D
N00046663,"Sylvia, Mark",D
N00046664,"Harris, James",L
N00046665,"Larson, Sam",D
N00046666,"Batu, David",R
N00046667,"Sawyer, Linda",R
N00046668,"Schroepfer, Mark",D
N00046669,"Chentnik, Steve",R
N00046670,"McGinley, Mark",R
N00046671,"Hanes, Ed",D
N00046672,"Towne, Gilead",R
N00046673,"Prempeh, Billy",R
N00046674,"Zinone, Jen",R
N00046675,"Grosz, Cindy",R
N00046676,"Gwinn, Lovelynn",R
N00046678,"Raleigh, Mike",3
N00046679,"Donovan, Ricky",R
N00046680,"Kahn, Kevin",L
N00046681,"Archer, Patrick Shane",I
N00046682,"Livingston, Justin",R
N00046683,"Medenbach, Kenneth",R
N00046684,"Jordan, Rob",R
N00046685,"Welch, Mark",D
N00046686,"Walsingham, Blair Nicole",D
N00046687,"Darden, Steve",R
N00046688,"Harshbarger, Diana",R
N00046689,"Brown, Chance",D
N00046691,"Boyd, Vance",R
N00046692,"Jackson, Charlie",D
